warning: the VM is running with native name encoding of latin1 which may cause Elixir to malfunction as it expects utf8. Please ensure your locale is set to UTF-8 (which can be verified by running "locale" in your shell)
Timeout: 60.0 seconds ...
Listing queues for vhost / ...
name    messages
CustomizeQuery_1_ZAL-SDLA-0111-PRO-VM_RPC_REPLY_1       0
BulkQueryConsumer_1_ZAL-SDLA-0111-PRO-VM_MANAGER_LISTENER       0
SubscriberList_1_ZAL-SDLA-0111-PRO-VM_MANAGER_LISTENER  0
ListReader_1_ZAL-SDLA-0111-PRO-VM_RPC_REPLY_1   0
AuditListReader_1_ZAL-SDLA-0111-PRO-VM_MANAGER_LISTENER 0
BulkQueryConsumer_4_ZAL-SDLA-0111-PRO-VM_JOB_MANAGER_LISTENER   0
List_CONFIG     0
BulkQueryConsumer_1_ZAL-SDLA-0111-PRO-VM_JOB_MANAGER_LISTENER   0
DataQuery_INPUT 0
LdapRollback_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER    0
CustomizeQuery_1_ZAL-SDLA-0111-PRO-VM_JOB_MANAGER_LISTENER      0
DataQuery_1_ZAL-SDLA-0111-PRO-VM_JOB_MANAGER_LISTENER   0
List_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER    0
LdapMigration_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER   0
EVENT_QUEUE     0
LdapMigration_1_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1        0
EventService_ZAL-SDLA-0113-OPS-VM_MANAGER_LISTENER      0
LdapMigration_1_ZAL-SDLA-0112-PRO-VM_JOB_MANAGER_LISTENER       0
EventService_ZAL-SDLA-0113-OPS-VM_RPC_REPLY_1   0
LdapSearch_1_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1   0
SyslogService_ZAL-SDLA-0113-OPS-VM_RPC_REPLY_1  0
LdapRollback_1_ZAL-SDLA-0112-PRO-VM_JOB_MANAGER_LISTENER        0
SyslogService_ZAL-SDLA-0113-OPS-VM_MANAGER_LISTENER     0
SyslogService_ZAL-SDLA-0113-OPS-VM_LOG_SERVER   0
LdapRollback_CONFIG     0
ServiceManager_ZAL-SDLA-0113-OPS-VM_MANAGER_LISTENER    0
LdapRollback_INPUT      0
LdapSearch_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER      0
LdapSearch_1_ZAL-SDLA-0112-PRO-VM_JOB_MANAGER_LISTENER  0
LdapMigration_CONFIG    0
LdapRollback_1_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1 0
LdapMigration_INPUT     0
MetricsService_ZAL-SDLA-0113-OPS-VM_MANAGER_LISTENER    0
LdapSearch_INPUT        0
MetricsService_ZAL-SDLA-0113-OPS-VM_RPC_REPLY_1 0
LdapSearch_CONFIG       0
ServiceManager_ZAL-SDLA-0113-OPS-VM_RPC_REPLY_1 0
SyslogService_ZAL-SDLA-0112-OPS-VM_MANAGER_LISTENER     0
Export_1_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1       0
BulkQueryReportGen_1_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1   0
ServiceManager_ZAL-SDLA-0112-OPS-VM_RPC_REPLY_1 0
NSRDataQuery_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER    0
BulkQueryForwarder_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER      0
ListReader_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER      0
AuditListReader_CONFIG  0
MultiSAImport_1_ZAL-SDLA-0112-PRO-VM_JOB_MANAGER_LISTENER       0
EventService_ZAL-SDLA-0112-OPS-VM_MANAGER_LISTENER      0
AuditListReader_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER 0
JobScheduler_MANAGER_LISTENER   0
SubscribersAudit_1_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1     0
ListReader_1_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1   0
SubscribersAudit_1_ZAL-SDLA-0112-PRO-VM_JOB_MANAGER_LISTENER    0
MultiSAImport_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER   0
JOB_MANAGEMENT_QUEUE    0
